RET16EC030,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,F, EC204,C, EC230,B, EC206,F, EC232,B+, EC208,F, MA204,C,HS210,C
RET16EC031,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,C, EC230,B, EC206,F, EC232,A, EC208,P, MA204,B+,HS210,B
RET16EC032,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B, EC230,B, EC206,B, EC232,A, EC208,C, MA204,B+,HS210,B+
RET16EC033,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B+, EC230,B+, EC206,A+, EC232,B+, EC208,B, MA204,A+,HS210,B+
RET16EC034,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,P, EC230,B, EC206,C, EC232,B+, EC208,C, MA204,F,HS210,B
RET16EC035,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B+, EC230,B, EC206,A, EC232,B, EC208,B, MA204,A+,HS210,C
RET16EC036,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,O, EC230,A+, EC206,A+, EC232,B+, EC208,A+, MA204,O,HS210,B
RET16EC037,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,B, EC230,B, EC206,B, EC232,B, EC208,P, MA204,B,HS210,B
RET16EC038,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,A+, EC230,A+, EC206,A, EC232,A, EC208,A, MA204,O,HS210,B
RET16EC039,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A+, EC204,B, EC230,B+, EC206,B+, EC232,A, EC208,B+, MA204,A+,HS210,B
RET16EC040,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,F, EC204,C, EC230,C, EC206,F, EC232,C, EC208,F, MA204,F,HS210,P
RET16EC041,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B+, EC204,B, EC230,B, EC206,B, EC232,B+, EC208,C, MA204,B+,HS210,C
RET16EC042,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,C, EC204,B, EC230,B+, EC206,C, EC232,B, EC208,C, MA204,C,HS210,B
RET16EC043,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,A, EC230,B, EC206,B+, EC232,B, EC208,B+, MA204,O,HS210,B
RET16EC044,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,B, EC204,B, EC230,A, EC206,A, EC232,C, EC208,B, MA204,B,HS210,B
RET16EC045,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,A+, EC230,B+, EC206,B+, EC232,B, EC208,B, MA204,O,HS210,F
RET16EC046,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A, EC204,B+, EC230,B, EC206,B, EC232,B+, EC208,B+, MA204,A,HS210,B
RET16EC047,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,A+, EC204,A+, EC230,A+, EC206,A, EC232,A, EC208,A, MA204,O,HS210,B
RET16EC048,RAJAGIRI SCHOOL OF ENGINEERING & TECHNOLOGY,ELECTRONICS & COMMUNICATION ENGG, EC202,F, EC204,C, EC230,FE, EC206,B, EC232,C, EC208,F, MA204,Absent,HS210,C
